sep=,
Depth,Clay,Quartz,Carbonates,GammaRay,NeutronPorosity,Resistivity,Density,GR_Dens,Porosity,Sonic,TOC,AvgPorosity,Photoelectric,RHOMAA,UMA,PEF_Dens,Well
7803,11.07874865,45.70658037,43.21467098,143.1177362,0.155001749,165.8370056,2.558823352,55.93107317,0.041233,69.99700165,4.487699,0.098117375,4.357183394,2.728410448,12.30781436,1.702807421,Selva-1
7804,8.70595841,56.16851632,35.12552527,155.9718419,0.149980588,167.8200073,2.576579893,60.53444814,0.031333,66.30400085,4.417726,0.090656794,4.643919144,2.733756718,13.10847237,1.802357907,Selva-1
7804.75,12.44008715,46.65577342,40.90413943,151.0705831,0.129004723,164.2969971,2.58251804,58.49739702,0.027332,64.8690033,4.245293,0.078168362,4.849011014,2.716710487,13.54214124,1.877629096,Selva-1
7805,11.13850772,55.69253859,33.16895369,151.0705831,0.129004723,164.2969971,2.58251804,58.49739702,0.027332,64.8690033,4.371429,0.078168362,4.849011014,2.716710487,13.54214124,1.877629096,Selva-1
7805.5,6.991410242,50.86441231,42.14417745,151.0705831,0.129004723,164.2969971,2.58251804,58.49739702,0.027332,64.8690033,5.390811,0.078168362,4.849011014,2.716710487,13.54214124,1.877629096,Selva-1
7806.11,5.3473639,63.87844948,30.77418662,269.6863071,0.142048276,484.6380005,2.580118982,104.524756,0.005316,67.89299774,6.166772,0.073682138,5.084517324,2.705806448,14.1223862,1.970652268,Selva-1
7806.6,17.08640903,46.25488493,36.65870604,420.9290022,0.203947064,168.6840057,2.55151716,164.9720444,0.032975,75.11799622,5.467373,0.118461032,4.838891954,2.760009729,13.93844831,1.896476351,Selva-1
7808,0,11.44949066,88.55050934,295.1957166,0.209989508,189.2350006,2.506025135,117.7943958,0.058056,76.9280014,5.182415,0.134022754,4.363160692,2.739104742,12.54903525,1.741068208,Selva-1
7809.1,19.81294345,45.9256074,34.26144915,205.4651965,0.191012945,173.4109955,2.496245635,82.30968685,0.063056,75.87799835,5.138491,0.127034473,4.244304181,2.713980206,12.06383095,1.700275054,Selva-1
7810.1,11.14099978,42.16543376,46.69356646,164.6754549,0.180002637,195.7230072,2.496924359,65.951319,0.057428,78.16400147,5.396778,0.118715318,4.427953168,2.698570723,12.47826803,1.773362958,Selva-1
7811,16.06874329,46.55209452,37.37916219,159.8367572,0.190009048,105.9830017,2.49829991,63.97821036,0.061579,79.29100037,4.570144,0.125794024,4.290553395,2.713898042,12.18956681,1.717389244,Selva-1
7811.25,14.92425859,50.17068487,34.90505654,159.8367572,0.190009048,105.9830017,2.49829991,63.97821036,0.061579,79.29100037,4.570144,0.125794024,4.290553395,2.713898042,12.18956681,1.717389244,Selva-1
7811.7,12.95910536,44.87446552,42.16642912,134.9400154,0.202995182,63.4280014,2.483621911,54.33194757,0.076377,80.86100006,4.025271,0.139686091,3.712507596,2.724512291,10.63637594,1.494795798,Selva-1
7812.9,14.19547872,39.72739362,46.07712766,134.0917884,0.2010035,132.1239929,2.478146403,54.10971208,0.066222,82.93900299,5.07217,0.13361275,3.788015832,2.706103596,10.75783541,1.528568218,Selva-1
7813,21.81247972,45.80945171,32.37806856,134.0917884,0.2010035,132.1239929,2.478146403,54.10971208,0.066222,82.93900299,5.07217,0.13361275,3.788015832,2.706103596,10.75783541,1.528568218,Selva-1
7813.9,3.370297891,58.36051316,38.26918895,181.6533903,0.207009712,79.09799957,2.475898103,73.36868595,0.075106,82.3730011,4.314832,0.141057856,4.012870553,2.718274173,11.48497571,1.62077371,Selva-1
7814.5,9.861610548,57.5351422,32.60324725,181.6533903,0.207009712,79.09799957,2.475898103,73.36868595,0.075106,82.3730011,4.060404,0.141057856,4.012870553,2.718274173,11.48497571,1.62077371,Selva-1
7814.92,13.46298485,48.00687654,38.53013861,191.0059367,0.216997362,70.03900146,2.472560855,77.25024697,0.080504,81.91300201,4.108204,0.148750681,3.976947901,2.729881976,11.46417406,1.608432769,Selva-1
7815,13.76029082,48.3481236,37.89158559,191.0059367,0.216997362,70.03900146,2.472560855,77.25024697,0.080504,81.91300201,4.108204,0.148750681,3.976947901,2.729881976,11.46417406,1.608432769,Selva-1
7815.8,14.7404614,40.79414374,44.46539485,168.7056461,0.20901509,83.18800354,2.477249026,68.10201331,0.075299,82.34999847,4.344369,0.142157045,3.737512838,2.722050659,10.71020221,1.508735213,Selva-1
7816.8,13.88980534,36.08270098,50.02749368,173.1161556,0.22100722,86.57299805,2.4785398,69.84602614,0.073216,82.26300049,4.41594,0.14711161,3.941689493,2.733567741,11.36851972,1.590327294,Selva-1
7817.1,13.54155291,36.13628918,50.32215791,173.1161556,0.22100722,86.57299805,2.4785398,69.84602614,0.073216,82.26300049,4.41594,0.14711161,3.941689493,2.733567741,11.36851972,1.590327294,Selva-1
7818,9.419340755,46.60554464,43.9751146,172.6768381,0.239987765,93.27799988,2.477717204,69.69190746,0.071016,82.1760025,4.567552,0.155501883,3.818110144,2.749817049,11.11008545,1.540978986,Selva-1
7819,0,52.52851302,47.47148698,172.1725241,0.23700324,54.59899902,2.47391555,69.59515013,0.081093,83.15200043,3.784071,0.15904812,3.892122948,2.752675254,11.35529826,1.573264272,Selva-1
7820.2,15.27762072,35.72317087,48.99920841,179.7888557,0.23499842,53.69599915,2.470431692,72.77629099,0.085137,82.69000244,3.732303,0.16006771,4.054948227,2.750655034,11.83123791,1.641392571,Selva-1
7821,26.1596548,39.77346278,34.06688242,176.2127905,0.229018102,65.38600159,2.470817293,71.3176126,0.084195,81.01799774,3.973974,0.156606551,3.939304574,2.743927813,11.44779889,1.594332606,Selva-1
7821.4,7.983299595,38.49949393,53.51720648,176.2127905,0.229018102,65.38600159,2.470817293,71.3176126,0.084195,81.01799774,4.286682,0.156606551,3.939304574,2.743927813,11.44779889,1.594332606,Selva-1
7823,5.242450021,56.01871544,38.73883454,202.4994368,0.234019213,102.7990036,2.479621991,81.6654464,0.070627,81.13400269,4.654716,0.152323106,4.133069771,2.745502328,12.00019632,1.666814452,Selva-1
7825,2.173913043,66.17647059,31.64961637,201.3795997,0.254999468,54.53300095,2.492386193,80.79791175,0.067863,82.51899719,3.763445,0.161431234,4.040035262,2.779682542,11.91150076,1.620950747,Selva-1
7825.3,4.067396437,53.0800601,42.85254346,201.3795997,0.254999468,54.53300095,2.492386193,80.79791175,0.067863,82.51899719,3.622304,0.161431234,4.040035262,2.779682542,11.91150076,1.620950747,Selva-1
7826.6,3.383897316,81.04381033,15.57229235,245.5684546,0.227002405,88.34600067,2.472735034,99.3104604,0.082499,80.51399994,3.669526,0.154750702,3.994843449,2.742367652,11.59517556,1.615556618,Selva-1
7827.7,2.802738554,79.94223363,17.25502781,191.0554309,0.215987779,205.0829926,2.439419125,78.32005123,0.102085,76.89299774,4.948524,0.15903639,3.76698948,2.711630691,10.83251151,1.544215769,Selva-1
7828,0,76.78080744,23.21919256,191.0554309,0.215987779,205.0829926,2.439419125,78.32005123,0.102085,76.89299774,5.426856,0.15903639,3.76698948,2.711630691,10.83251151,1.544215769,Selva-1
7828.01,4.834955565,62.685146,32.47989843,191.0554309,0.215987779,205.0829926,2.439419125,78.32005123,0.102085,76.89299774,5.426856,0.15903639,3.76698948,2.711630691,10.83251151,1.544215769,Selva-1
7828.4,5.452795894,58.60151823,35.94568588,191.0554309,0.215987779,205.0829926,2.439419125,78.32005123,0.102085,76.89299774,6.043319,0.15903639,3.76698948,2.711630691,10.83251151,1.544215769,Selva-1
7830.2,7.535218958,34.85857814,57.6062029,118.6874084,0.180001062,598.1669922,2.426251091,48.91802369,0.104914,73.8010025,6.825098,0.142457531,3.33801113,2.663184207,9.361197457,1.375789646,Selva-1
