sep=,
Well,Depth,Clay,Quartz,Carbonates,TOC,Formation,Sonic,GammaRay,NeutronPorosity,Resistivity,Density,Photoelectric,AvgPorosity,RHOMAA,UMA,GR_Dens,PEF_Dens
Coyote-1,9869.3,56.70439958,24.18018439,19.11541603,10.32302,Paja,91.3976,222.5085,0.0952,99.03568,2.5936,5.6771,0.088785325,2.74887438,16.11007186,85.79137107,2.188888032
Coyote-1,9870.84,62.31658515,17.5855936,20.09782125,6.802411,Paja,90.7726,326.7281,0.1752,22.23164,2.453,8.2121,0.16900875,2.748514199,24.13957659,133.1953119,3.347778231
Coyote-1,9881.5,59.85798291,24.10961944,16.03239765,10.35488,Paja,103.039,164.3693,0.27425,50.32015,2.3391,7.8539,0.260307,2.810345643,24.66010087,70.27031764,3.357658929
Coyote-1,9883.33,0,11.56585521,88.43414479,11.55233,Paja,105.3826,248.9237,0.31755,53.20365,2.2831,7.3411,0.3016913,2.837439516,23.78549739,109.0288205,3.215408874
Coyote-1,9890.8,55.08445754,22.53712731,22.37841515,8.555269,Paja,105.7345,142.788,0.3463,22.915,2.21605,11.6988,0.3336117,2.824836961,38.65361965,64.43356422,5.279122763
Coyote-1,9891,67.81673575,15.96280945,16.2204548,8.555269,Paja,105.7345,142.788,0.3463,22.915,2.21605,11.6988,0.3336117,2.824836961,38.65361965,64.43356422,5.279122763
Coyote-1,9900.1,68.92120392,18.46466013,12.61413595,10.99721,Paja,96.78655,299.4922,0.2892,78.08681,2.26285,6.0836,0.28264965,2.760436863,18.99343805,132.3517688,2.688468082
Coyote-1,9901,70.54485416,18.53604843,10.91909741,11.75326,Paja,97.41576,251.7849,0.2789,82.88253,2.256,6.9998,0.27572345,2.73414423,21.61285917,111.6067819,3.102748227
Coyote-1,9903.2,49.07428062,21.31385233,29.61186705,11.72801,Paja,100.7409,236.9048,0.2984,49.07042,2.24285,8.4029,0.2924903,2.756654361,26.43101447,105.6266803,3.746527855
Coyote-1,9905.3,33.17657597,11.56645392,55.2569701,14.22383,Paja,95.836,409.5305,0.2619,89.52928,2.2514,7.991,0.26393585,2.700123556,24.26278943,181.9003731,3.549347073
Coyote-1,9907.3,25.3365004,15.36025337,59.30324624,14.70378,Paja,93.70415,425.6627,0.296,129.1494,2.19085,5.1823,0.2985036,2.697585333,15.9721278,194.2911199,2.365428943
Coyote-1,9909.7,24.53118186,18.0440471,57.42477104,12.05125,Paja,92.53336,239.0552,0.2778,76.16582,2.1867,7.7158,0.287123,2.664663048,23.46628992,109.3223579,3.528513285
Coyote-1,9910.9,42.40294511,18.93128068,38.66577421,10.57299,Paja,95.4673,277.3679,0.3023,67.99603,2.24115,4.9812,0.29580345,2.762505085,15.64295459,123.7614171,2.222608928
Coyote-1,9911.3,56.87116564,23.10429448,20.02453988,10.16183,Paja,98.28755,270.4415,0.33425,46.34918,2.20915,5.7402,0.3250626,2.791499478,18.5475446,122.4188036,2.598374941
Coyote-1,9913.5,42.93141593,18.44026549,38.62831858,10.33344,Paja,100.9086,171.8151,0.35095,23.22474,2.09365,12.1744,0.3541397,2.693322844,39.1909252,82.0648628,5.814916533
Coyote-1,9915.5,42.67659671,20.43556759,36.8878357,7.001531,Paja,93.5486,177.0783,0.25135,28.06398,2.37855,6.8198,0.23718515,2.807188206,21.10950346,74.44800404,2.867209014
Coyote-1,9917.4,55.58552484,13.89076197,30.52371319,8.71363,Paja,88.75445,284.8421,0.24085,55.27071,2.33055,7.2196,0.2361842,2.741977582,21.87379036,122.2209779,3.09780953
Coyote-1,9919.1,29.49663701,13.94011716,56.56324582,8.523699,Paja,91.4696,299.1809,0.24615,65.18071,2.37735,7.7755,0.23341675,2.796738971,23.96135912,125.8463836,3.270658506
Coyote-1,9921,70.38423428,15.65562039,13.96014533,10.88012,Paja,94.35194,277.1185,0.2933,71.17,2.2497,5.9027,0.28763695,2.754302108,18.43931365,123.1802018,2.623772058
Coyote-1,9921.1,71.39849291,15.65824468,12.94326241,11.47132,Paja,96.00605,247.3372,0.29055,67.12667,2.24075,6.2374,0.28676575,2.739610794,19.39484983,110.3814348,2.783621555
Coyote-1,9923.2,67.62891141,11.866461,20.50462759,10.24464,Paja,94.9791,293.9453,0.28265,51.07745,2.2774,7.6995,0.275519,2.763193238,24.01316501,129.0705629,3.380829016
Coyote-1,9925.2,36.38019351,17.16562322,46.45418327,7.354885,Paja,81.8377,212.3598,0.21405,51.69352,2.30055,7.726,0.22212025,2.671916514,22.70658052,92.30827411,3.358327357
Coyote-1,9927.1,48.42285714,14.92571429,36.65142857,4.946219,Paja,79.5925,201.4645,0.19945,40.8942,2.42365,4.6532,0.19147015,2.760788424,13.83003127,83.12441978,1.919914179
Coyote-1,9929.1,39.81481481,20.11378849,40.0713967,5.331043,Paja,83.474,209.149,0.2431,41.07517,2.40965,5.3662,0.22639315,2.822178798,16.56845109,86.79642272,2.226962422
Coyote-1,9931.8,3.281165677,14.76524555,81.95358877,10.1297,Paja,91.6986,213.3087,0.21005,69.19414,2.2855,6.7722,0.222173,2.652681123,19.75603393,93.33130606,2.963115292
Coyote-1,9942.67,21.5701559,7.527839644,70.90200445,8.397719,Paja,96.64404,145.1261,0.2066,36.61233,2.48815,6.2595,0.18743415,2.831420801,19.05181943,58.32690955,2.515724534
Coyote-1,9950.8,5.981367775,8.966758416,85.05187381,6.081049,Paja,82.64325,260.1714,0.20455,38.04704,2.41535,4.46,0.1965135,2.761510617,13.28485824,107.7158176,1.846523278
Coyote-1,9960.9,46.90949227,22.70419426,30.38631347,6.679099,Paja,92.63635,162.826,0.2096,46.72561,2.47275,5.1665,0.1919959,2.822701147,15.69232746,65.84814478,2.089374179
Coyote-1,9961,48.81352138,24.65860757,26.52787105,6.679099,Paja,92.63635,162.826,0.2096,46.72561,2.47275,5.1665,0.1919959,2.822701147,15.69232746,65.84814478,2.089374179
Coyote-1,9970.9,39.05021834,25.30567686,35.6441048,4.814006,Paja,84.4559,205.3649,0.21905,39.97487,2.5159,4.9235,0.19271995,2.877787021,15.2247955,81.62681347,1.956953774
Coyote-1,9981,49.28909953,34.09015761,16.62074286,7.564482,Paja,90.13465,171.9763,0.18515,60.25903,2.49735,5.2765,0.1700002,2.804036579,15.77381967,68.86351533,2.11283961
Coyote-1,10001.3,63.44768255,33.78857942,2.763738036,2.509724,Paja,66.68295,71.91444,0.08885,27.83183,2.62745,4.7094,0.079466535,2.767942244,13.39873044,27.37043141,1.792384251
Coyote-1,10003.25,11.61753508,25.80224084,62.58022408,2.432617,Paja,65.5994,60.5769,0.0937,34.20704,2.62435,4.2939,0.083530945,2.772400269,12.25020194,23.08262998,1.636176577
Coyote-1,10010,2.685573101,12.06359437,85.25083253,2.058376,Paja,78.08929,103.739,0.3144,7.448967,2.4647,6.1697,0.27245105,3.013197875,20.71370464,42.08990952,2.503225545
Luna-1,9335.21,6.611747085,62.01989943,31.36835348,4.673135567,Umir,121.14394,29.5971,0.706,0.0203,4.6288,10,-0.20805,4.003849178,38.4024047,6.394119426,2.160387141
Luna-1,9379,8.959412781,67.22797927,23.81260794,4.673135567,La Renta Superior,88.17023,94.201,0.2773,21.2284,2.3914,3.4637,0.2318,2.811247071,10.63159617,39.39156979,1.448398428
